Date,AAPL,ABT,ADBE,ADUS,AMGN,AMZN,CAT,CMCSA,COST,CSCO,CVX,DIS,ECL,EMR,EOG,EXEL,FFIV,GD,GE,GOOGL,GS,HD,INCY,JNJ,JPM,KO,LNN,MCD,MDT,MS,MSFT,MU,NEE,NTAP,NVDA,OII,OKE,PG,PH,PLAB,PLD,PLUS,QCOM,REGN,SHW,TJX,TXN,UNH,UNP,WMT,^GSPC
2010-01-31,5.744444370269775,17.702560424804688,32.29999923706055,8.819999694824219,39.0306396484375,6.270500183105469,35.08098602294922,5.075743198394775,40.57765579223633,14.406983375549316,36.97874450683594,24.95551300048828,36.38467788696289,26.53412628173828,31.36111068725586,6.630000114440918,49.43000030517578,45.725608825683594,55.63800048828125,13.136754989624023,110.63502502441406,18.714929580688477,10.680000305175781,38.65930938720703,25.58350944519043,16.363693237304688,33.52668380737305,39.556190490722656,28.621858596801758,18.668794631958008,20.927173614501953,8.503195762634277,7.480323314666748,21.319496154785156,0.35232239961624146,24.17691421508789,7.7185235023498535,38.11669158935547,42.391170501708984,3.8499999046325684,14.36208724975586,3.641016960144043,25.784412384033203,26.410768508911133,17.59603500366211,7.622422218322754,14.65296745300293,25.400550842285156,21.12180519104004,12.688374519348145,1073.8699951171875
2010-02-28,6.1201090812683105,18.150644302368164,34.650001525878906,7.900000095367432,37.7825927734375,5.920000076293945,38.31106948852539,5.27133321762085,43.21123504638672,15.599552154541016,37.42583465576172,26.38275146484375,34.92599105834961,30.461702346801758,32.62013244628906,6.46999979019165,55.79999923706055,49.624446868896484,55.9156494140625,13.058917045593262,116.57186126708984,20.846338272094727,10.65999984741211,39.04187774658203,27.57423210144043,15.902193069458008,30.733335494995117,40.79977798461914,28.962203979492188,19.644777297973633,21.390613555908203,8.83474349975586,7.190495014190674,21.96354866027832,0.3708656132221222,26.718368530273438,8.110031127929688,39.18804168701172,45.93202209472656,4.400000095367432,14.565553665161133,3.7985167503356934,24.239913940429688,24.231334686279297,17.703750610351562,8.37496566772461,15.877302169799805,26.062509536743164,23.616315841674805,12.840357780456543,1104.489990234375
2010-03-31,7.028762340545654,17.61561393737793,35.369998931884766,6.039999961853027,39.938350677490234,6.78849983215332,42.20597457885742,6.037665367126465,42.31821823120117,16.68953514099121,39.25312805175781,29.48213768005371,36.558895111083984,32.3921012878418,32.23514938354492,6.070000171661377,61.630001068115234,52.8050537109375,63.36646270751953,14.058417320251465,127.21881103515625,21.775501251220703,13.930000305175781,40.40523147583008,29.400671005249023,16.725706100463867,34.573944091796875,42.63370895385742,30.049951553344727,20.41857147216797,21.853195190429688,10.112170219421387,7.494424343109131,23.815195083618164,0.39833709597587585,28.06201934814453,8.351521492004395,39.18184280395508,49.305908203125,5.099999904632568,16.467010498046875,4.06487512588501,27.729185104370117,26.242355346679688,18.90486717224121,8.5540132522583,15.935917854309082,25.14655303955078,25.695037841796875,13.278125762939453,1169.4300537109375
2010-04-30,7.80910587310791,17.251466751098633,33.599998474121094,4.840000152587891,38.24977111816406,6.855000019073486,46.01002502441406,6.371157646179199,41.87173843383789,17.26658821105957,42.15711212158203,31.11204719543457,40.62654113769531,33.608253479003906,38.94371032714844,5.800000190734863,68.43000030517578,52.51542282104492,65.66437530517578,13.03165054321289,108.25859832763672,23.714107513427734,13.4399995803833,39.847503662109375,28.006288528442383,16.25433921813965,31.751911163330078,45.10658264160156,29.287874221801758,21.10213851928711,22.785823822021484,9.117530822753906,8.071276664733887,25.374086380004883,0.3596479296684265,28.95041847229004,9.072242736816406,38.790706634521484,52.68740463256836,5.449999809265137,16.841808319091797,4.310389518737793,25.561607360839844,25.29133415222168,21.80706787109375,9.322504997253418,17.015769958496094,23.351472854614258,26.522340774536133,12.810043334960938,1186.68994140625
2010-05-31,7.68318510055542,16.037519454956055,32.08000183105469,6.179999828338623,34.55894088745117,6.2729997634887695,41.05698013305664,5.829756259918213,41.42529296875,14.849390983581543,38.5955810546875,28.22380256652832,39.28727340698242,30.084548950195312,36.41508483886719,5.179999828338623,70.33000183105469,46.697181701660156,56.92534255981445,12.038349151611328,107.82673645019531,22.79191780090332,12.890000343322754,36.4592399597168,26.033077239990234,15.630922317504883,28.591182708740234,43.08854675292969,26.26455307006836,18.930479049682617,19.336179733276367,8.863997459411621,7.7425336837768555,27.577030181884766,0.30081331729888916,20.450927734375,8.210066795349121,38.12296676635742,46.99220657348633,5.059999942779541,15.675098419189453,4.053295135498047,23.625823974609375,28.302913665771484,21.503982543945312,9.175543785095215,15.975578308105469,22.396146774291992,25.160621643066406,12.144637107849121,1089.4100341796875
2010-06-30,7.5231709480285645,15.774499893188477,26.43000030517578,5.980000019073486,35.106231689453125,5.4629998207092285,40.590736389160156,5.597724437713623,38.99312210083008,13.663241386413574,35.45547866821289,26.602323532104492,37.482452392578125,28.303064346313477,34.16777801513672,3.4700000286102295,68.56999969482422,40.56039047241211,50.524497985839844,11.029926300048828,98.11746978759766,19.027162551879883,11.069999694824219,36.934513092041016,24.079608917236328,15.370609283447266,26.51607894897461,42.44420623779297,24.313817977905273,16.20716667175293,17.245166778564453,8.278915405273438,7.6391520500183105,27.306243896484375,0.23373688757419586,19.845399856567383,7.984830379486084,37.43028259277344,42.404624938964844,4.519999980926514,14.3330659866333,4.053295135498047,21.81867218017578,22.11134147644043,19.41616439819336,8.467096328735352,15.229804039001465,21.971782684326172,24.484315872192383,11.546534538269043,1030.7099609375
2010-07-31,7.694250106811523,16.70377540588379,28.719999313354492,5.28000020980835,36.39435577392578,5.894499778747559,47.44562911987305,6.308262825012207,40.33012008666992,14.7916841506958,39.81816864013672,28.451820373535156,40.820926666259766,32.09278869628906,33.914833068847656,3.119999885559082,87.83000183105469,42.42355728149414,56.480918884277344,12.019013404846191,112.73001861572266,19.325407028198242,13.020000457763672,36.327880859375,26.52972412109375,16.90093231201172,29.10158348083496,44.931453704833984,24.938066482543945,18.88164710998535,19.343673706054688,7.098998546600342,8.193757057189941,30.958282470703125,0.21038611233234406,21.869720458984375,8.673666000366211,38.46534729003906,47.496849060058594,4.519999980926514,15.269031524658203,4.148258209228516,25.300086975097656,23.9638614654541,19.404939651489258,8.3803071975708,16.228355407714844,23.557777404785156,26.301881790161133,12.295970916748047,1101.5999755859375
2010-08-31,7.271029472351074,16.792253494262695,27.700000762939453,5.21999979019165,34.065059661865234,6.241499900817871,44.32338333129883,5.540383815765381,40.32695388793945,12.816899299621582,39.067264556884766,27.480623245239258,39.560638427734375,30.42140007019043,30.217248916625977,2.9700000286102295,87.43000030517578,38.697200775146484,50.734710693359375,11.155608177185059,102.60494995117188,19.018043518066406,12.510000228881836,35.995052337646484,23.947895050048828,17.137069702148438,30.92413330078125,47.42970275878906,21.214563369750977,17.272619247436523,17.68375015258789,6.299386024475098,8.4960355758667,29.553083419799805,0.2135910838842392,22.103971481323242,7.998856067657471,37.52825164794922,45.419822692871094,4.309999942779541,14.55329704284668,4.183000087738037,25.573993682861328,21.774518966674805,19.852672576904297,8.038996696472168,15.130690574645996,24.540319442749023,25.810131072998047,12.114044189453125,1049.3299560546875
2010-09-30,8.486857414245605,17.779237747192383,26.149999618530273,3.9700000286102295,36.78145217895508,7.853000164031982,53.52000427246094,5.857904434204102,46.02983474731445,14.041523933410645,42.743011474609375,27.953556060791016,42.47956085205078,34.34066390991211,32.3390998840332,3.9200000762939453,103.80999755859375,43.50407028198242,57.357627868652344,13.033883094787598,108.33727264404297,21.656780242919922,15.989999771118164,39.11351776123047,25.067564010620117,18.082653045654297,36.33396530151367,48.371063232421875,22.65134620666504,17.265615463256836,18.452287673950195,7.030738353729248,8.600400924682617,36.44002151489258,0.2673896551132202,23.805641174316406,8.39590835571289,37.71693420410156,53.78826141357422,5.289999961853027,16.19276237487793,4.968181133270264,30.134584426879883,27.143850326538086,21.19536590576172,9.039569854736328,17.838703155517578,27.263195037841797,28.945289611816406,12.930669784545898,1141.199951171875
2010-10-31,9.002197265625,17.61094093322754,28.149999618530273,3.0399999618530273,38.169681549072266,8.261500358581543,53.76011657714844,6.71992301940918,44.94688034057617,14.657049179077148,43.5604133605957,30.512447357177734,41.29072952270508,35.80139923095703,33.34791946411133,4.46999979019165,117.69999694824219,47.49653244018555,56.54579162597656,15.213093757629395,120.73861694335938,21.123563766479492,16.65999984741211,40.23716735839844,24.81632423400879,18.94785499572754,48.3530387878418,50.48740768432617,23.923227310180664,17.43457794189453,20.09483528137207,8.054635047912598,8.703182220458984,38.972312927246094,0.275173157453537,27.345993041992188,9.376824378967285,40.28843307495117,58.77090835571289,6.289999961853027,17.42931365966797,4.870902061462402,30.154613494873047,25.86591148376465,20.583255767822266,9.294772148132324,19.522098541259766,27.99309539794922,31.025957107543945,13.087709426879883,1183.260009765625
2010-11-30,9.30638313293457,15.960335731506348,27.799999237060547,4.150000095367432,35.16628646850586,8.770000457763672,57.86393356323242,6.5277419090271,48.41259002685547,12.284730911254883,43.06620788574219,30.833370208740234,40.02656555175781,36.131492614746094,30.989315032958984,5.789999961853027,131.8800048828125,46.08110809326172,55.875179290771484,13.77557373046875,117.2571029663086,20.81191062927246,14.510000228881836,39.189056396484375,24.664636611938477,19.654386520385742,49.58498001098633,51.2293701171875,22.76881980895996,17.147159576416016,19.14940643310547,7.089245319366455,8.081847190856934,37.27437210083008,0.311572790145874,30.54157829284668,9.619619369506836,38.70401382446289,61.81570053100586,6.389999866485596,18.04759979248047,5.37351131439209,31.387393951416016,28.550575256347656,21.02463722229004,9.267584800720215,20.994338989257812,28.358057022094727,32.01988983154297,13.068387031555176,1180.550048828125
2010-12-31,9.647647857666016,16.440759658813477,30.780000686645508,4.099999904632568,36.641292572021484,9.0,64.06068420410156,7.156412601470947,51.70645523071289,12.97077751159668,48.53391647338867,32.02436828613281,42.36058044433594,37.50929641723633,31.84636688232422,8.210000038146973,130.16000366210938,49.476688385009766,65.067138671875,14.724004745483398,126.28380584716797,24.153125762939453,16.559999465942383,39.380062103271484,27.97523307800293,20.463342666625977,49.912532806396484,50.221778869628906,25.186288833618164,19.07497787475586,21.158340454101562,7.820600509643555,8.300577163696289,40.223812103271484,0.35255128145217896,32.543800354003906,10.440237045288086,40.77010726928711,66.49253845214844,5.909999847412109,19.782407760620117,5.475421905517578,33.17731475830078,32.52309036254883,23.740251541137695,9.01968765258789,21.45648956298828,28.132108688354492,32.926002502441406,13.101786613464355,1257.6400146484375
2011-01-31,10.14893627166748,15.640931129455566,33.04999923706055,4.630000114440918,36.76144027709961,8.482000350952148,66.66402435302734,7.442667007446289,51.441490173339844,13.560654640197754,50.49122619628906,33.18547821044922,41.747291564941406,38.63125228881836,37.12474060058594,8.670000076293945,108.37999725341797,52.88420867919922,71.64852905273438,14.882407188415527,122.87445831298828,25.33114242553711,14.739999771118164,38.05572509765625,29.671175003051758,19.55483055114746,54.65770721435547,48.20010757446289,26.1803035736084,20.645822525024414,21.021883010864258,10.277944564819336,8.535269737243652,40.05549240112305,0.547599196434021,34.13498306274414,11.182266235351562,40.30619430541992,68.88873291015625,6.590000152587891,20.930299758911133,5.984979629516602,36.28789138793945,33.36514663696289,24.018051147460938,9.629260063171387,22.47248077392578,31.980709075927734,33.62603759765625,13.621681213378906,1286.1199951171875
